Collibra Resource ID,Requirement Name,Requirement Description,Collibra Location ID,Published Indicator,Data Quality Requirement Target,Dictionary Reference Number,Extract Timestamp
d1b9539f-c925-43a3-929d-5c524f43d9d6,12 month expected credit loss amount.Conformity[currency amount],A 12 month expected credit loss amount must conform to the currency amount data standard,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.975,DD118469,Fri Feb 19 05:31:51 HKT 2021
6f78561d-2a30-4833-8301-e208e3172f9e,20% annual investments list country code [know your customer profile].Completeness.1,Return False if the value is empty,c1022889-d4c2-437b-b677-21a11929cd7c,FALSE,0.98,,Fri Feb 19 05:31:51 HKT 2021
92861251-12b2-40fe-8f58-3d7522defba0,20% annual investments list country code [know your customer profile].Completeness.2,Return False if the value is empty,c1022889-d4c2-437b-b677-21a11929cd7c,FALSE,0.98,,Fri Feb 19 05:31:51 HKT 2021
ffe40853-4867-4dfa-81de-06a50ad26040,20% annual investments list country code [know your customer profile].Validity.1,Return False if the value is not in the list given in reference,c1022889-d4c2-437b-b677-21a11929cd7c,FALSE,0.98,,Fri Feb 19 05:31:51 HKT 2021
f8024b5f-2809-46df-bf5c-19b0dbe5e98c,20% annual investments list country code [know your customer profile].Validity.2,Return False if the value is not in the list given in reference,c1022889-d4c2-437b-b677-21a11929cd7c,FALSE,0.98,,Fri Feb 19 05:31:51 HKT 2021
bd6c3136-4d0c-4711-bb69-4c5835a0963d,30+ actuals exclusion indicator.Conformity[indicator],A 30+ actuals exclusion indicator must conform to the indicator standard,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.975,DD115825,Fri Feb 19 05:31:51 HKT 2021
5e831d1f-166d-41bb-8ab4-24d292842a0c,ability of borrower to repay indicator.Conformity[indicator],An ability of borrower to repay indicator must conform to the indicator data standard.,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.975,,Fri Feb 19 05:31:51 HKT 2021
a7c47a83-77a3-494c-afd0-66350999452c,access device.Validity,Must be a valid access device in Access Device Identifier Data Standard,c1022889-d4c2-437b-b677-21a11929cd7c,FALSE,0.985,,Fri Feb 19 05:31:51 HKT 2021
96788662-ec42-4db8-9553-01a820a7d656,accessibility status type effective date [fund share class].conformity.1,The accessibility status type effective date [fund share class] must conform to a standard date format.,c1022889-d4c2-437b-b677-21a11929cd7c,FALSE,1,DD118416,Fri Feb 19 05:31:51 HKT 2021
cbe9bbd5-568d-40ba-b01e-b399afb10625,accessibility status type effective date [fund share class].validity.1,The accessibility status type effective date [fund share class] must not be greater than today,c1022889-d4c2-437b-b677-21a11929cd7c,FALSE,1,DD118421,Fri Feb 19 05:31:51 HKT 2021
2f71c9d7-f7dc-4b58-9eef-296ecd5c428e,accessibility status type [fund share class].validity.1,"The accessibility status type for fund share class must not be ""Not Applicable""",c1022889-d4c2-437b-b677-21a11929cd7c,FALSE,1,DD117460,Fri Feb 19 05:31:51 HKT 2021
557eb90a-328a-4f11-b1f8-520712c02fd9,account access card.Accuracy[card expiry date],An account access card must have the card expiry date as recorded in the authoritative source for the account access card.,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.975,,Fri Feb 19 05:31:51 HKT 2021
2c94b50d-48ef-4bb5-9a50-d19ba4c0439b,account access card.Completeness[account access card number],A account access card must have exactly one account access card number,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.985,,Fri Feb 19 05:31:51 HKT 2021
7c573d53-ea8d-43b3-8154-b985bf5d600e,account access card.Completeness[account access card service],An account access card must have exactly one account access card service.,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.985,,Fri Feb 19 05:31:51 HKT 2021
38c5cb41-a903-4723-b634-7fb0f56cb384,account access card.Completeness[account access card status],An account access card must have exactly one account access card status,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.985,,Fri Feb 19 05:31:51 HKT 2021
39f55442-7445-44b5-82bd-1022fc0636d9,account access card.Completeness[card expiry date],An account access card must have exactly one card expiry date.,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.975,,Fri Feb 19 05:31:51 HKT 2021
c07efbff-dd22-4850-bdac-a072b62fc33d,account access card.Completeness[card verification code],An account access card must have exactly one card verification code.,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.985,,Fri Feb 19 05:31:51 HKT 2021
419c04c9-421c-434a-912d-540618ef1f3d,account access card.Completeness[code],An account access card must have exactly one code,b8bbedcc-6dbb-4f4c-9d78-11a03e79d3e5,TRUE,0.985,,Fri Feb 19 05:31:51 HKT 2021
