de_name,dd_name,dd_l0,dd_l1,dd_l2,dd_l3,domain_path,dqr_published_indicator,dqr_target,dq_name,dq_qr_rule,dq_dimension,dq_target
customer identifier [customer],Customer Data,Party Data,Customer Data,,,Party Data_Customer Data___customer identifier [customer],false,0.99,GPB_1218024_CMP001_0064012b-551f-4945-b376-3c2672d5da08,Must not be blank,Completeness,0.95
market value amount in base currency [holding],Account Financial Data,Account Data,Customer Account Data,Account Financial Data,,Account Data_Customer Account Data_Account Financial Data__market value amount in base currency [holding],true,0.975,GPB_1218024_CMP001_02b4919d-c20a-4d92-9d6f-11791077694e,Must not be blank,Completeness,0.95
country code [organisation registered address],Party Data,Party Data,,,,Party Data____country code [organisation registered address],true,0.95,GPB_243585_CMP001_0a25de9b-0f8b-4fc5-8ec6-05bc8a5aa6b5,Must not be blank,Completeness,0.95
country code [organisation registered address],Party Data,Party Data,,,,Party Data____country code [organisation registered address],true,0.95,GPB_540662_CMP001_0a25de9b-0f8b-4fc5-8ec6-05bc8a5aa6b5,Must not be blank,Completeness,0.95
country code [organisation registered address],Party Data,Party Data,,,,Party Data____country code [organisation registered address],true,0.95,GPB_243053_CMP001_0a25de9b-0f8b-4fc5-8ec6-05bc8a5aa6b5,Must not be blank,Completeness,0.95
country code [organisation registered address],Party Data,Party Data,,,,Party Data____country code [organisation registered address],true,0.95,GPB_243052_CMP001_0a25de9b-0f8b-4fc5-8ec6-05bc8a5aa6b5,Must not be blank,Completeness,0.95
country code [organisation registered address],Party Data,Party Data,,,,Party Data____country code [organisation registered address],true,0.95,GPB_243584_CMP001_0a25de9b-0f8b-4fc5-8ec6-05bc8a5aa6b5,Must not be blank,Completeness,0.95
country code [organisation registered address],Party Data,Party Data,,,,Party Data____country code [organisation registered address],true,0.95,GPB_714101_CMP001_0a25de9b-0f8b-4fc5-8ec6-05bc8a5aa6b5,Must not be blank,Completeness,0.95
country code [organisation registered address],Party Data,Party Data,,,,Party Data____country code [organisation registered address],true,0.95,GPB_243556_CMP001_0a25de9b-0f8b-4fc5-8ec6-05bc8a5aa6b5,Must not be blank,Completeness,0.95
local financial product type [financial instrument],Contract Data,Contract Data,,,,Contract Data____local financial product type [financial instrument],true,0.975,GPB_1218024_CMP001_0aa55ff1-ffde-4436-9654-817fdcef42f4,Must not be blank,Completeness,0.95
